"An actor picked a tractor from a stretcher.",stretcher,tractor,0
"A human picked a bowl from an egg.",bowl,egg,1
"An actor picked a piano from a pocket.",pocket,piano,0
"A human pinned a credit card on a cigarette.",credit card,cigarette,1
"An actor pinned a drawer on a pencil.",drawer,pencil,1
"A package is placed on an album.",album,package,0
"A person is placed on an album.",album,person,0
"A bike is placed on a leaf.",leaf,bike,0
"A clown post a stretcher through a key box.",key box,stretcher,0
"A human post a crib through a key box.",key box,crib,0
"A human post an electric fan through a key box.",key box,electric fan,0
"A clown post an oven through a key box.",key box,oven,0
"An actor post a bag through a key box.",key box,bag,0
"An actor post a plane through a key box.",key box,plane,0
"He reached inside a suitcase for a bike.",suitcase,bike,0
"He reached inside a glove for a shelf.",glove,shelf,0
"He reached inside a bowl for a bike.",bowl,bike,0
"He reached inside a boot for a radio.",radio,boot,1
"I released a cattle from a pocket.",cattle,pocket,1
"I released a dog from a pot.",dog,pot,1
"A clown sets a printer on an album.",album,printer,0
"A clown sets a fridge on a newspaper.",newspaper,fridge,0
"An actor sets a nest on a sink.",nest,sink,1
"A glove is stuffed full of a shelf.",glove,shelf,0
"A worm sucked a badge.",badge,worm,1
"An ant sucked a squirrel.",ant,squirrel,0
"A ladybug sucked a disk.",disk,ladybug,1
"A ladybug has swallowed a butterfly.",ladybug,butterfly,0
"A ladybug has swallowed a canvas.",ladybug,canvas,0
"An ant has swallowed a banana.",ant,banana,0
"A cat has swallowed a bed.",bed,cat,1
"A frog has swallowed a drawer.",drawer,frog,1
"An actor threw a bed easily.",bed,actor,1
"A human whipped out a closet.",closet,human,1
